oa21cd,oa_median_priceper,oa_mean_priceper,oa_avg_price,transaction_count,postcode_count,source_file_count
E00000001,6847.96531677998,7857.764994818682,841421.612244898,49,2,1
E00000003,8260.988440128174,8596.124991285025,932065.6212121212,66,3,1
E00000005,6087.1570252692945,6269.4687813658065,472124.72580645164,62,2,1
E00000007,3783.86336866902,5606.963050995699,314802.2738853503,157,3,1
E00000010,6443.206640454346,6623.970810667102,280005.95588235295,68,3,1
E00000013,9845.74491847219,9307.082403904124,568453.8571428572,217,3,1
E00000018,10126.2019230769,10652.721949250797,667836.2903225806,124,5,1
E00000019,12368.055555555551,10916.740668495127,607575.6263157895,190,6,1
E00000020,5430.19182725065,6094.304173532253,474085.1339285714,112,2,1
E00000021,9666.333555407506,9141.505697007984,595451.8371212122,264,5,1
E00000022,5450.03724685134,6006.353331789528,359430.0,44,5,1
E00000023,12215.7622739018,11564.806065659892,814288.0178571428,112,4,1
E00000024,5256.4987347596,6864.539309111736,436904.1877394636,261,13,1
E00000025,7279.3583535108955,7798.269998954521,510089.2272727273,242,13,1
E00000028,11969.996406755301,11600.068006485148,655208.9541984732,262,7,1
E00000029,4429.389332320765,5047.653522202693,293127.2388059702,134,5,1
E00000030,2720.159407665505,3490.0347653503763,222083.08333333334,24,3,1
E00000031,3910.79812206573,3951.50161401059,218313.48648648648,37,2,1
E00000037,2218.1964573268897,2370.389243636657,158443.58653846153,104,3,1
E00000038,1985.29411764706,2067.147905236763,180188.7394957983,119,3,1
E00000039,1728.84440400364,2025.3105617377175,97451.92039800996,201,2,1
E00000040,2179.701609736945,2317.9800393868677,126955.7641509434,106,5,1
E00000041,2153.80769230769,2252.8996138975886,242522.18181818182,55,5,1
E00000042,2553.1914893617,2965.4585290359078,141797.04081632654,49,3,1
E00000043,2223.001402524545,2085.2658122644257,128300.0,10,4,1
E00000045,2123.78640776699,2157.2844197909794,110243.27814569537,151,2,1
E00000046,2958.93264840183,3004.206731676546,195139.15625,96,4,1
E00000048,1792.33621755253,1947.6298625762965,131376.92307692306,39,4,1
E00000049,2386.23751387347,2487.4752853470427,246418.37931034484,87,2,1
E00000050,2078.900709219855,2217.383830976595,137900.0,70,4,1
E00000051,2791.66666666667,2752.196082115024,165917.5796178344,157,6,1
E00000052,2049.640610961365,2189.2550296608924,134440.36170212767,94,5,1
E00000053,2055.55555555556,2139.9600753390228,198730.66292134832,89,5,1
E00000054,1978.26086956522,1893.0818239612652,188950.89108910892,101,3,1
E00000055,2547.16981132075,2600.0731019530067,232627.4705882353,119,3,1
E00000056,1673.73928806856,1728.688141545503,126121.0655737705,61,2,1
E00000057,2528.30188679245,2866.397378557413,147042.04225352113,71,8,1
E00000059,1515.30612244898,1999.567757671142,88953.56451612903,310,2,1
E00000060,2381.6052565458704,2474.145486122905,238056.25,44,2,1
E00000061,2361.6651205936896,2435.180901604294,136702.14285714287,42,5,1
E00000063,2032.51219512195,2066.1715843664274,188875.54929577466,71,2,1
E00000064,2110.53515579752,2337.7638999529377,201171.0,80,3,1
E00000066,2129.62962962963,2278.860966917694,172904.10344827586,145,3,1
E00000067,2287.177380082785,2259.6120892486824,129224.74736842106,190,2,1
E00000068,2040.81632653061,2130.9011729623826,160628.9247311828,93,3,1
E00000069,2662.03703703704,2677.5211643657394,133239.9518072289,83,4,1
E00000070,2248.1981981982,2532.1459062927906,185320.75892857142,112,3,1
E00000071,2185.18518518519,2284.219801198632,165643.01333333334,75,3,1
E00000072,2137.5,2383.7448846903394,173373.0684931507,73,4,1
E00000073,2420.77464788732,2456.633240130014,180372.42990654206,107,4,1
E00000074,2211.87427240978,2479.4386281195134,181225.75342465754,73,3,1
E00000075,2243.58974358974,2493.4068721773297,189351.54320987655,81,4,1
E00000076,2077.407130687765,2180.2062031735036,172387.0625,80,4,1
E00000077,2433.33333333333,2660.9944615795453,194999.5172413793,87,4,1
E00000078,2098.56165998585,2342.8562159010157,174848.1188118812,101,4,1
E00000079,2356.2333782053347,2568.2195001310497,187039.37234042553,94,4,1
E00000080,2946.33928571429,3057.0098682091175,182258.75392670158,191,6,1
E00000081,2463.55981416957,2607.9781560663673,201149.91666666666,60,5,1
E00000082,2095.74468085106,2367.5215790025777,176937.20472440944,127,4,1
E00000083,2081.25878721193,2223.4153646626414,172797.18181818182,66,4,1
E00000084,2167.71396396396,2426.471813117323,176672.68181818182,88,5,1
E00000085,2304.6875,2578.242444704653,188686.4492753623,69,2,1
E00000086,2205.12820512821,2406.936193074079,178427.53684210527,95,5,1
E00000087,2378.5714285714303,2613.6740451827864,204170.73333333334,60,3,1
E00000088,2528.73563218391,2802.5819642712167,189216.26865671642,67,4,1
E00000089,2160.270262182205,2391.9172524494147,182134.04444444444,90,4,1
E00000090,2378.75076546234,2642.654354446559,203725.8510638298,94,4,1
E00000091,2983.87096774194,2842.0177847201135,168484.88439306358,173,8,1
E00000092,2330.64014916097,2507.76812088674,185520.75221238937,113,6,1
E00000093,2175.28735632184,2385.339010986464,172754.0,90,7,1
E00000094,2287.667203708665,2515.8008820138066,180790.25,80,4,1
E00000095,2661.419270833335,2794.0528208045002,180104.44366197183,142,9,1
E00000096,2144.19726614849,2461.164631150624,177280.63440860214,93,5,1
E00000097,2352.2032303591,2514.4517374039933,185580.49504950494,101,3,1
E00000098,2307.69230769231,2597.7399948897437,186407.53846153847,91,3,1
E00000099,1961.37598068799,1864.0760201223,113419.16129032258,31,2,1
E00000100,2210.56277056277,2457.030986854432,177971.79347826086,92,4,1
E00000101,2313.91835696156,2587.0913054275943,199880.09615384616,104,6,1
E00000102,1920.3226831982201,2202.1081754741554,202100.234375,64,6,1
E00000103,2432.3684716531798,2506.9862535248476,199083.05555555556,36,4,1
E00000104,2200.0,2380.121879101932,204056.93333333332,75,4,1
E00000106,2396.29712096106,2529.3624606412714,225353.48484848486,66,3,1
E00000107,2105.571122048495,2305.003837649195,160506.01886792452,106,5,1
E00000108,2151.83544303797,2332.2470877852293,170536.452991453,117,5,1
E00000109,2368.77013454614,2471.4019302575375,198979.1981981982,111,4,1
E00000110,2207.142857142855,2629.398934395049,188752.43055555556,72,4,1
E00000111,2290.38152610442,2494.703200462057,185285.94915254237,118,5,1
E00000112,2142.85714285714,2384.73542710741,137985.50847457626,177,3,1
E00000113,2115.38461538462,2330.456706480522,189627.9719626168,107,4,1
E00000114,2178.53347502657,2278.928520841313,192688.2857142857,91,5,1
E00000115,2221.7344511158954,2448.677038444016,198541.89024390245,82,4,1
E00000116,2098.17131857555,2244.7640716232468,189178.94029850746,67,7,1
E00000117,1817.7966101694951,2248.854836030964,151250.0,6,1,1
E00000118,1942.01406759307,2242.8200462210875,200159.01086956522,92,4,1
E00000119,2102.86458333333,2282.507409541706,184505.74074074073,81,4,1
E00000120,2231.639257309805,2342.6477364468733,174052.3829787234,94,3,1
E00000121,2228.57142857143,2434.667326536023,192296.11111111112,81,5,1
E00000122,2191.78082191781,2395.1804683884834,183862.64705882352,85,4,1
E00000123,1793.47826086957,1942.6906081932293,174689.86440677967,59,6,1
E00000124,2224.00857449089,2314.885466507798,158957.0325203252,123,5,1
E00000125,2139.97985901309,2133.1636597596766,171976.18309859154,71,4,1
E00000128,2279.0940766550502,2382.723399151007,182064.62962962964,54,2,1
E00000129,2307.85594741193,2435.368929205585,182511.41025641025,78,3,1
E00000130,2190.233506300965,2414.665385929496,173433.09322033898,118,3,1
E00000131,2296.875,2658.7480641066345,194582.3188405797,69,4,1
E00000132,2141.50867650868,2299.09294754273,163481.75,88,4,1
E00000133,2140.625,2303.034220645393,163200.30973451328,113,5,1
E00000134,2268.49697533737,2389.900867952383,174584.51219512196,123,5,1
E00000135,3058.26290235569,3121.576222188003,283276.4393939394,66,5,1
E00000136,2409.2515258593,2546.325184799542,225155.1052631579,95,6,1
E00000137,2258.62068965517,2380.668982972426,184329.59770114944,87,6,1
E00000138,2214.299914362615,2634.8653478680044,216583.17021276595,94,6,1
E00000139,2236.11111111111,2651.481361931236,218899.75,60,4,1
E00000140,2619.04761904762,2735.3077106745955,199552.131147541,122,4,1
E00000141,1423.65456821026,2354.378065800777,145856.42857142858,7,3,1
E00000142,2062.745098039215,2241.656797398307,147810.74074074073,54,3,1
E00000143,2082.86046549321,2247.8591456962035,194460.91666666666,60,4,1
E00000144,2939.78188715031,3147.593980720004,274279.5575221239,113,5,1
E00000145,3684.12280701754,3906.4149948347977,294330.7619047619,105,4,1
E00000146,2777.77777777778,2866.046720327193,263312.15596330276,109,5,1
E00000147,2776.23542476402,3000.435275889533,261971.28282828283,99,6,1
E00000148,2673.91304347826,2894.1368388344604,160569.8255033557,149,2,1
E00000149,2399.63384333726,2519.367097972409,217871.00884955752,113,4,1
E00000150,2060.10664081435,2394.5711338546075,209564.78873239437,71,6,1
E00000151,2615.44011544012,2647.329414261561,207246.90082644628,121,9,1
E00000152,2132.3198198198197,2367.002550887546,199476.31355932204,118,3,1
E00000153,2755.55555555556,3053.7363953947247,270243.1927710843,83,7,1
E00000154,2521.18644067797,2510.9442171635446,166882.92592592593,135,7,1
E00000155,2612.2606207352,2819.2912397484342,179078.05729166666,192,7,1
E00000156,2186.2435947970052,2320.5478716064913,171656.93181818182,88,10,1
E00000157,2278.68852459016,2534.3613580793835,196930.5632183908,87,4,1
E00000158,2117.64705882353,2107.0797664400475,186392.61904761905,63,6,1
E00000159,3514.2824627290347,3001.091240364957,268048.75373134325,134,4,1
